"Year","State","Tobacco Use","Demographic","Comparing (Focus group)","Cigarette Use Prevalence % (Focus group)","To (Reference group)","Cigarette Use Prevalence % (Reference group)","Disparity Value"
"2011","Arkansas","Cigarette Use among Adults","Income","$75,000 or above","11.7","Less than $20,000","41.9","0.3"
"2011","Arkansas","Cigarette Use among Adults","Income","$75,000 or above","11.7","From $20,000-$74,999","23.7","0.5"
"2011","California","Cigarette Use among Adults","Income","Less than $20,000","19.0","From $20,000-$74,999","15.2","1.3"
"2011","California","Cigarette Use among Adults","Income","Less than $20,000","19.0","$75,000 or above","7.5","2.5"
"2011","California","Cigarette Use among Adults","Income","From $20,000-$74,999","15.2","Less than $20,000","19.0","0.8"
"2011","California","Cigarette Use among Adults","Income","From $20,000-$74,999","15.2","$75,000 or above","7.5","2.0"
"2011","California","Cigarette Use among Adults","Income","$75,000 or above","7.5","Less than $20,000","19.0","0.4"
"2011","California","Cigarette Use among Adults","Income","$75,000 or above","7.5","From $20,000-$74,999","15.2","0.5"
"2011","Colorado","Cigarette Use among Adults","Income","Less than $20,000","31.5","From $20,000-$74,999","18.9","1.7"
"2011","Colorado","Cigarette Use among Adults","Income","Less than $20,000","31.5","$75,000 or above","10.3","3.1"
"2011","Colorado","Cigarette Use among Adults","Income","From $20,000-$74,999","18.9","Less than $20,000","31.5","0.6"
"2011","Colorado","Cigarette Use among Adults","Income","From $20,000-$74,999","18.9","$75,000 or above","10.3","1.8"
"2011","Colorado","Cigarette Use among Adults","Income","$75,000 or above","10.3","Less than $20,000","31.5","0.3"
"2011","Colorado","Cigarette Use among Adults","Income","$75,000 or above","10.3","From $20,000-$74,999","18.9","0.5"
"2011","Connecticut","Cigarette Use among Adults","Income","Less than $20,000","26.6","From $20,000-$74,999","18.9","1.4"
"2011","Connecticut","Cigarette Use among Adults","Income","Less than $20,000","26.6","$75,000 or above","10.9","2.4"
"2011","Connecticut","Cigarette Use among Adults","Income","From $20,000-$74,999","18.9","Less than $20,000","26.6","0.7"
"2011","Connecticut","Cigarette Use among Adults","Income","From $20,000-$74,999","18.9","$75,000 or above","10.9","1.7"
"2011","Connecticut","Cigarette Use among Adults","Income","$75,000 or above","10.9","Less than $20,000","26.6","0.4"
"2011","Connecticut","Cigarette Use among Adults","Income","$75,000 or above","10.9","From $20,000-$74,999","18.9","0.6"
"2011","Delaware","Cigarette Use among Adults","Income","Less than $20,000","33.5","From $20,000-$74,999","25.4","1.3"
"2011","Delaware","Cigarette Use among Adults","Income","Less than $20,000","33.5","$75,000 or above","11.8","2.8"
"2011","Delaware","Cigarette Use among Adults","Income","From $20,000-$74,999","25.4","Less than $20,000","33.5","0.8"
"2011","Delaware","Cigarette Use among Adults","Income","From $20,000-$74,999","25.4","$75,000 or above","11.8","2.2"
"2011","Delaware","Cigarette Use among Adults","Income","$75,000 or above","11.8","Less than $20,000","33.5","0.4"
"2011","Delaware","Cigarette Use among Adults","Income","$75,000 or above","11.8","From $20,000-$74,999","25.4","0.5"
"2011","District of Columbia","Cigarette Use among Adults","Income","Less than $20,000","34.9","From $20,000-$74,999","22.5","1.6"
"2011","District of Columbia","Cigarette Use among Adults","Income","Less than $20,000","34.9","$75,000 or above","10.8","3.2"
"2011","District of Columbia","Cigarette Use among Adults","Income","From $20,000-$74,999","22.5","Less than $20,000","34.9","0.6"
"2011","District of Columbia","Cigarette Use among Adults","Income","From $20,000-$74,999","22.5","$75,000 or above","10.8","2.1"
"2011","District of Columbia","Cigarette Use among Adults","Income","$75,000 or above","10.8","Less than $20,000","34.9","0.3"
"2011","District of Columbia","Cigarette Use among Adults","Income","$75,000 or above","10.8","From $20,000-$74,999","22.5","0.5"
"2011","Florida","Cigarette Use among Adults","Income","Less than $20,000","26.0","From $20,000-$74,999","19.9","1.3"
"2011","Florida","Cigarette Use among Adults","Income","Less than $20,000","26.0","$75,000 or above","12.9","2.0"
"2011","Florida","Cigarette Use among Adults","Income","From $20,000-$74,999","19.9","Less than $20,000","26.0","0.8"
"2011","Florida","Cigarette Use among Adults","Income","From $20,000-$74,999","19.9","$75,000 or above","12.9","1.5"
"2011","Florida","Cigarette Use among Adults","Income","$75,000 or above","12.9","Less than $20,000","26.0","0.5"
"2011","Florida","Cigarette Use among Adults","Income","$75,000 or above","12.9","From $20,000-$74,999","19.9","0.6"
"2011","Georgia","Cigarette Use among Adults","Income","Less than $20,000","32.8","From $20,000-$74,999","21.7","1.5"
"2011","Georgia","Cigarette Use among Adults","Income","Less than $20,000","32.8","$75,000 or above","8.2","4.0"
"2011","Georgia","Cigarette Use among Adults","Income","From $20,000-$74,999","21.7","Less than $20,000","32.8","0.7"
"2011","Georgia","Cigarette Use among Adults","Income","From $20,000-$74,999","21.7","$75,000 or above","8.2","2.6"
"2011","Georgia","Cigarette Use among Adults","Income","$75,000 or above","8.2","Less than $20,000","32.8","0.3"
"2011","Georgia","Cigarette Use among Adults","Income","$75,000 or above","8.2","From $20,000-$74,999","21.7","0.4"
"2011","Hawaii","Cigarette Use among Adults","Income","Less than $20,000","30.9","From $20,000-$74,999","18.5","1.7"
"2011","Hawaii","Cigarette Use among Adults","Income","Less than $20,000","30.9","$75,000 or above","9.3","3.3"
"2011","Hawaii","Cigarette Use among Adults","Income","From $20,000-$74,999","18.5","Less than $20,000","30.9","0.6"
"2011","Hawaii","Cigarette Use among Adults","Income","From $20,000-$74,999","18.5","$75,000 or above","9.3","2.0"
"2011","Hawaii","Cigarette Use among Adults","Income","$75,000 or above","9.3","Less than $20,000","30.9","0.3"
"2011","Hawaii","Cigarette Use among Adults","Income","$75,000 or above","9.3","From $20,000-$74,999","18.5","0.5"
"2011","Idaho","Cigarette Use among Adults","Income","Less than $20,000","28.6","From $20,000-$74,999","17.7","1.6"
"2011","Idaho","Cigarette Use among Adults","Income","Less than $20,000","28.6","$75,000 or above","4.9","5.8"
"2011","Idaho","Cigarette Use among Adults","Income","From $20,000-$74,999","17.7","Less than $20,000","28.6","0.6"
"2011","Idaho","Cigarette Use among Adults","Income","From $20,000-$74,999","17.7","$75,000 or above","4.9","3.6"
"2011","Idaho","Cigarette Use among Adults","Income","$75,000 or above","4.9","Less than $20,000","28.6","0.2"
"2011","Idaho","Cigarette Use among Adults","Income","$75,000 or above","4.9","From $20,000-$74,999","17.7","0.3"
"2011","Illinois","Cigarette Use among Adults","Income","Less than $20,000","32.3","From $20,000-$74,999","22.0","1.5"
"2011","Illinois","Cigarette Use among Adults","Income","Less than $20,000","32.3","$75,000 or above","13.0","2.5"
"2011","Illinois","Cigarette Use among Adults","Income","From $20,000-$74,999","22.0","Less than $20,000","32.3","0.7"
"2011","Illinois","Cigarette Use among Adults","Income","From $20,000-$74,999","22.0","$75,000 or above","13.0","1.7"
"2011","Illinois","Cigarette Use among Adults","Income","$75,000 or above","13.0","Less than $20,000","32.3","0.4"
"2011","Illinois","Cigarette Use among Adults","Income","$75,000 or above","13.0","From $20,000-$74,999","22.0","0.6"
"2011","Indiana","Cigarette Use among Adults","Income","Less than $20,000","37.9","From $20,000-$74,999","26.0","1.5"
"2011","Indiana","Cigarette Use among Adults","Income","Less than $20,000","37.9","$75,000 or above","13.4","2.8"
"2011","Indiana","Cigarette Use among Adults","Income","From $20,000-$74,999","26.0","Less than $20,000","37.9","0.7"
"2011","Indiana","Cigarette Use among Adults","Income","From $20,000-$74,999","26.0","$75,000 or above","13.4","1.9"
"2011","Indiana","Cigarette Use among Adults","Income","$75,000 or above","13.4","Less than $20,000","37.9","0.4"
"2011","Indiana","Cigarette Use among Adults","Income","$75,000 or above","13.4","From $20,000-$74,999","26.0","0.5"
"2011","Iowa","Cigarette Use among Adults","Income","Less than $20,000","32.0","From $20,000-$74,999","22.7","1.4"
"2011","Iowa","Cigarette Use among Adults","Income","Less than $20,000","32.0","$75,000 or above","9.5","3.4"
"2011","Iowa","Cigarette Use among Adults","Income","From $20,000-$74,999","22.7","Less than $20,000","32.0","0.7"
"2011","Iowa","Cigarette Use among Adults","Income","From $20,000-$74,999","22.7","$75,000 or above","9.5","2.4"
"2011","Iowa","Cigarette Use among Adults","Income","$75,000 or above","9.5","Less than $20,000","32.0","0.3"
"2011","Iowa","Cigarette Use among Adults","Income","$75,000 or above","9.5","From $20,000-$74,999","22.7","0.4"
"2011","Kansas","Cigarette Use among Adults","Income","Less than $20,000","37.4","From $20,000-$74,999","23.1","1.6"
"2011","Kansas","Cigarette Use among Adults","Income","Less than $20,000","37.4","$75,000 or above","10.5","3.6"
"2011","Kansas","Cigarette Use among Adults","Income","From $20,000-$74,999","23.1","Less than $20,000","37.4","0.6"
"2011","Kansas","Cigarette Use among Adults","Income","From $20,000-$74,999","23.1","$75,000 or above","10.5","2.2"
"2011","Kansas","Cigarette Use among Adults","Income","$75,000 or above","10.5","Less than $20,000","37.4","0.3"
"2011","Kansas","Cigarette Use among Adults","Income","$75,000 or above","10.5","From $20,000-$74,999","23.1","0.5"
"2011","Kentucky","Cigarette Use among Adults","Income","Less than $20,000","41.9","From $20,000-$74,999","30.7","1.4"
"2011","Kentucky","Cigarette Use among Adults","Income","Less than $20,000","41.9","$75,000 or above","16.4","2.6"
"2011","Kentucky","Cigarette Use among Adults","Income","From $20,000-$74,999","30.7","Less than $20,000","41.9","0.7"
"2011","Kentucky","Cigarette Use among Adults","Income","From $20,000-$74,999","30.7","$75,000 or above","16.4","1.9"
"2011","Kentucky","Cigarette Use among Adults","Income","$75,000 or above","16.4","Less than $20,000","41.9","0.4"
"2011","Kentucky","Cigarette Use among Adults","Income","$75,000 or above","16.4","From $20,000-$74,999","30.7","0.5"
"2011","Louisiana","Cigarette Use among Adults","Income","Less than $20,000","33.8","From $20,000-$74,999","26.1","1.3"
"2011","Louisiana","Cigarette Use among Adults","Income","Less than $20,000","33.8","$75,000 or above","16.4","2.1"
"2011","Louisiana","Cigarette Use among Adults","Income","From $20,000-$74,999","26.1","Less than $20,000","33.8","0.8"
"2011","Louisiana","Cigarette Use among Adults","Income","From $20,000-$74,999","26.1","$75,000 or above","16.4","1.6"
"2011","Louisiana","Cigarette Use among Adults","Income","$75,000 or above","16.4","Less than $20,000","33.8","0.5"
"2011","Louisiana","Cigarette Use among Adults","Income","$75,000 or above","16.4","From $20,000-$74,999","26.1","0.6"
"2011","Maine","Cigarette Use among Adults","Income","Less than $20,000","35.2","From $20,000-$74,999","22.8","1.5"
"2011","Maine","Cigarette Use among Adults","Income","Less than $20,000","35.2","$75,000 or above","9.0","3.9"
"2011","Maine","Cigarette Use among Adults","Income","From $20,000-$74,999","22.8","Less than $20,000","35.2","0.6"
"2011","Maine","Cigarette Use among Adults","Income","From $20,000-$74,999","22.8","$75,000 or above","9.0","2.5"
"2011","Maine","Cigarette Use among Adults","Income","$75,000 or above","9.0","Less than $20,000","35.2","0.3"
"2011","Maine","Cigarette Use among Adults","Income","$75,000 or above","9.0","From $20,000-$74,999","22.8","0.4"
"2011","Maryland","Cigarette Use among Adults","Income","Less than $20,000","36.6","From $20,000-$74,999","21.8","1.7"
"2011","Maryland","Cigarette Use among Adults","Income","Less than $20,000","36.6","$75,000 or above","12.2","3.0"
"2011","Maryland","Cigarette Use among Adults","Income","From $20,000-$74,999","21.8","Less than $20,000","36.6","0.6"
"2011","Maryland","Cigarette Use among Adults","Income","From $20,000-$74,999","21.8","$75,000 or above","12.2","1.8"
"2011","Maryland","Cigarette Use among Adults","Income","$75,000 or above","12.2","Less than $20,000","36.6","0.3"
"2011","Maryland","Cigarette Use among Adults","Income","$75,000 or above","12.2","From $20,000-$74,999","21.8","0.6"
"2011","Massachusetts","Cigarette Use among Adults","Income","Less than $20,000","32.3","From $20,000-$74,999","20.3","1.6"
"2011","Massachusetts","Cigarette Use among Adults","Income","Less than $20,000","32.3","$75,000 or above","9.9","3.3"
"2011","Massachusetts","Cigarette Use among Adults","Income","From $20,000-$74,999","20.3","Less than $20,000","32.3","0.6"
"2011","Massachusetts","Cigarette Use among Adults","Income","From $20,000-$74,999","20.3","$75,000 or above","9.9","2.1"
"2011","Massachusetts","Cigarette Use among Adults","Income","$75,000 or above","9.9","Less than $20,000","32.3","0.3"
"2011","Massachusetts","Cigarette Use among Adults","Income","$75,000 or above","9.9","From $20,000-$74,999","20.3","0.5"
"2011","Michigan","Cigarette Use among Adults","Income","Less than $20,000","35.3","From $20,000-$74,999","22.7","1.6"
"2011","Michigan","Cigarette Use among Adults","Income","Less than $20,000","35.3","$75,000 or above","13.2","2.7"
"2011","Michigan","Cigarette Use among Adults","Income","From $20,000-$74,999","22.7","Less than $20,000","35.3","0.6"
"2011","Michigan","Cigarette Use among Adults","Income","From $20,000-$74,999","22.7","$75,000 or above","13.2","1.7"
"2011","Michigan","Cigarette Use among Adults","Income","$75,000 or above","13.2","Less than $20,000","35.3","0.4"
"2011","Michigan","Cigarette Use among Adults","Income","$75,000 or above","13.2","From $20,000-$74,999","22.7","0.6"
"2011","Minnesota","Cigarette Use among Adults","Income","Less than $20,000","31.8","From $20,000-$74,999","21.7","1.5"
"2011","Minnesota","Cigarette Use among Adults","Income","Less than $20,000","31.8","$75,000 or above","10.1","3.1"
"2011","Minnesota","Cigarette Use among Adults","Income","From $20,000-$74,999","21.7","Less than $20,000","31.8","0.7"
"2011","Minnesota","Cigarette Use among Adults","Income","From $20,000-$74,999","21.7","$75,000 or above","10.1","2.1"
"2011","Minnesota","Cigarette Use among Adults","Income","$75,000 or above","10.1","Less than $20,000","31.8","0.3"
"2011","Minnesota","Cigarette Use among Adults","Income","$75,000 or above","10.1","From $20,000-$74,999","21.7","0.5"
"2011","Mississippi","Cigarette Use among Adults","Income","Less than $20,000","35.3","From $20,000-$74,999","24.1","1.5"
"2011","Mississippi","Cigarette Use among Adults","Income","Less than $20,000","35.3","$75,000 or above","16.9","2.1"
"2011","Mississippi","Cigarette Use among Adults","Income","From $20,000-$74,999","24.1","Less than $20,000","35.3","0.7"
"2011","Mississippi","Cigarette Use among Adults","Income","From $20,000-$74,999","24.1","$75,000 or above","16.9","1.4"
"2011","Mississippi","Cigarette Use among Adults","Income","$75,000 or above","16.9","Less than $20,000","35.3","0.5"
"2011","Mississippi","Cigarette Use among Adults","Income","$75,000 or above","16.9","From $20,000-$74,999","24.1","0.7"
"2011","Missouri","Cigarette Use among Adults","Income","Less than $20,000","40.3","From $20,000-$74,999","24.6","1.6"
"2011","Missouri","Cigarette Use among Adults","Income","Less than $20,000","40.3","$75,000 or above","14.9","2.7"
"2011","Missouri","Cigarette Use among Adults","Income","From $20,000-$74,999","24.6","Less than $20,000","40.3","0.6"
"2011","Missouri","Cigarette Use among Adults","Income","From $20,000-$74,999","24.6","$75,000 or above","14.9","1.7"
"2011","Missouri","Cigarette Use among Adults","Income","$75,000 or above","14.9","Less than $20,000","40.3","0.4"
"2011","Missouri","Cigarette Use among Adults","Income","$75,000 or above","14.9","From $20,000-$74,999","24.6","0.6"
"2011","Montana","Cigarette Use among Adults","Income","Less than $20,000","36.6","From $20,000-$74,999","19.9","1.8"
"2011","Montana","Cigarette Use among Adults","Income","Less than $20,000","36.6","$75,000 or above","11.1","3.3"
"2011","Montana","Cigarette Use among Adults","Income","From $20,000-$74,999","19.9","Less than $20,000","36.6","0.5"
"2011","Montana","Cigarette Use among Adults","Income","From $20,000-$74,999","19.9","$75,000 or above","11.1","1.8"
"2011","Montana","Cigarette Use among Adults","Income","$75,000 or above","11.1","Less than $20,000","36.6","0.3"
"2011","Montana","Cigarette Use among Adults","Income","$75,000 or above","11.1","From $20,000-$74,999","19.9","0.6"
"2011","Nebraska","Cigarette Use among Adults","Income","Less than $20,000","32.2","From $20,000-$74,999","21.3","1.5"
"2011","Nebraska","Cigarette Use among Adults","Income","Less than $20,000","32.2","$75,000 or above","10.7","3.0"
"2011","Nebraska","Cigarette Use among Adults","Income","From $20,000-$74,999","21.3","Less than $20,000","32.2","0.7"
"2011","Nebraska","Cigarette Use among Adults","Income","From $20,000-$74,999","21.3","$75,000 or above","10.7","2.0"
"2011","Nebraska","Cigarette Use among Adults","Income","$75,000 or above","10.7","Less than $20,000","32.2","0.3"
"2011","Nebraska","Cigarette Use among Adults","Income","$75,000 or above","10.7","From $20,000-$74,999","21.3","0.5"
"2011","Nevada","Cigarette Use among Adults","Income","Less than $20,000","36.3","From $20,000-$74,999","24.0","1.5"
"2011","Nevada","Cigarette Use among Adults","Income","Less than $20,000","36.3","$75,000 or above","12.9","2.8"
"2011","Nevada","Cigarette Use among Adults","Income","From $20,000-$74,999","24.0","Less than $20,000","36.3","0.7"
"2011","Nevada","Cigarette Use among Adults","Income","From $20,000-$74,999","24.0","$75,000 or above","12.9","1.9"
"2011","Nevada","Cigarette Use among Adults","Income","$75,000 or above","12.9","Less than $20,000","36.3","0.4"
"2011","Nevada","Cigarette Use among Adults","Income","$75,000 or above","12.9","From $20,000-$74,999","24.0","0.5"
"2011","New Hampshire","Cigarette Use among Adults","Income","Less than $20,000","36.2","From $20,000-$74,999","20.9","1.7"
"2011","New Hampshire","Cigarette Use among Adults","Income","Less than $20,000","36.2","$75,000 or above","10.5","3.4"
"2011","New Hampshire","Cigarette Use among Adults","Income","From $20,000-$74,999","20.9","Less than $20,000","36.2","0.6"
"2011","New Hampshire","Cigarette Use among Adults","Income","From $20,000-$74,999","20.9","$75,000 or above","10.5","2.0"
"2011","New Hampshire","Cigarette Use among Adults","Income","$75,000 or above","10.5","Less than $20,000","36.2","0.3"
"2011","New Hampshire","Cigarette Use among Adults","Income","$75,000 or above","10.5","From $20,000-$74,999","20.9","0.5"
"2011","New Jersey","Cigarette Use among Adults","Income","Less than $20,000","25.2","From $20,000-$74,999","19.0","1.3"
"2011","New Jersey","Cigarette Use among Adults","Income","Less than $20,000","25.2","$75,000 or above","11.9","2.1"
"2011","New Jersey","Cigarette Use among Adults","Income","From $20,000-$74,999","19.0","Less than $20,000","25.2","0.8"
"2011","New Jersey","Cigarette Use among Adults","Income","From $20,000-$74,999","19.0","$75,000 or above","11.9","1.6"
"2011","New Jersey","Cigarette Use among Adults","Income","$75,000 or above","11.9","Less than $20,000","25.2","0.5"
"2011","New Jersey","Cigarette Use among Adults","Income","$75,000 or above","11.9","From $20,000-$74,999","19.0","0.6"
"2011","New Mexico","Cigarette Use among Adults","Income","Less than $20,000","33.0","From $20,000-$74,999","21.2","1.6"
"2011","New Mexico","Cigarette Use among Adults","Income","Less than $20,000","33.0","$75,000 or above","9.7","3.4"
"2011","New Mexico","Cigarette Use among Adults","Income","From $20,000-$74,999","21.2","Less than $20,000","33.0","0.6"
"2011","New Mexico","Cigarette Use among Adults","Income","From $20,000-$74,999","21.2","$75,000 or above","9.7","2.2"
"2011","New Mexico","Cigarette Use among Adults","Income","$75,000 or above","9.7","Less than $20,000","33.0","0.3"
"2011","New Mexico","Cigarette Use among Adults","Income","$75,000 or above","9.7","From $20,000-$74,999","21.2","0.5"
"2011","New York","Cigarette Use among Adults","Income","Less than $20,000","29.1","From $20,000-$74,999","18.3","1.6"
"2011","New York","Cigarette Use among Adults","Income","Less than $20,000","29.1","$75,000 or above","10.1","2.9"
"2011","New York","Cigarette Use among Adults","Income","From $20,000-$74,999","18.3","Less than $20,000","29.1","0.6"
"2011","New York","Cigarette Use among Adults","Income","From $20,000-$74,999","18.3","$75,000 or above","10.1","1.8"
"2011","New York","Cigarette Use among Adults","Income","$75,000 or above","10.1","Less than $20,000","29.1","0.3"
"2011","New York","Cigarette Use among Adults","Income","$75,000 or above","10.1","From $20,000-$74,999","18.3","0.6"
"2011","North Carolina","Cigarette Use among Adults","Income","Less than $20,000","34.0","From $20,000-$74,999","21.2","1.6"
"2011","North Carolina","Cigarette Use among Adults","Income","Less than $20,000","34.0","$75,000 or above","13.5","2.5"
"2011","North Carolina","Cigarette Use among Adults","Income","From $20,000-$74,999","21.2","Less than $20,000","34.0","0.6"
"2011","North Carolina","Cigarette Use among Adults","Income","From $20,000-$74,999","21.2","$75,000 or above","13.5","1.6"
"2011","North Carolina","Cigarette Use among Adults","Income","$75,000 or above","13.5","Less than $20,000","34.0","0.4"
"2011","North Carolina","Cigarette Use among Adults","Income","$75,000 or above","13.5","From $20,000-$74,999","21.2","0.6"
"2011","North Dakota","Cigarette Use among Adults","Income","Less than $20,000","28.7","From $20,000-$74,999","24.9","1.2"
"2011","North Dakota","Cigarette Use among Adults","Income","Less than $20,000","28.7","$75,000 or above","12.0","2.4"
"2011","North Dakota","Cigarette Use among Adults","Income","From $20,000-$74,999","24.9","Less than $20,000","28.7","0.9"
"2011","North Dakota","Cigarette Use among Adults","Income","From $20,000-$74,999","24.9","$75,000 or above","12.0","2.1"
"2011","North Dakota","Cigarette Use among Adults","Income","$75,000 or above","12.0","Less than $20,000","28.7","0.4"
"2011","North Dakota","Cigarette Use among Adults","Income","$75,000 or above","12.0","From $20,000-$74,999","24.9","0.5"
"2011","Ohio","Cigarette Use among Adults","Income","Less than $20,000","42.8","From $20,000-$74,999","24.7","1.7"
"2011","Ohio","Cigarette Use among Adults","Income","Less than $20,000","42.8","$75,000 or above","11.4","3.8"
"2011","Ohio","Cigarette Use among Adults","Income","From $20,000-$74,999","24.7","Less than $20,000","42.8","0.6"
"2011","Ohio","Cigarette Use among Adults","Income","From $20,000-$74,999","24.7","$75,000 or above","11.4","2.2"
"2011","Ohio","Cigarette Use among Adults","Income","$75,000 or above","11.4","Less than $20,000","42.8","0.3"
"2011","Ohio","Cigarette Use among Adults","Income","$75,000 or above","11.4","From $20,000-$74,999","24.7","0.5"
"2011","Oklahoma","Cigarette Use among Adults","Income","Less than $20,000","42.9","From $20,000-$74,999","24.6","1.7"
"2011","Oklahoma","Cigarette Use among Adults","Income","Less than $20,000","42.9","$75,000 or above","14.8","2.9"
"2011","Oklahoma","Cigarette Use among Adults","Income","From $20,000-$74,999","24.6","Less than $20,000","42.9","0.6"
"2011","Oklahoma","Cigarette Use among Adults","Income","From $20,000-$74,999","24.6","$75,000 or above","14.8","1.7"
"2011","Oklahoma","Cigarette Use among Adults","Income","$75,000 or above","14.8","Less than $20,000","42.9","0.3"
"2011","Oklahoma","Cigarette Use among Adults","Income","$75,000 or above","14.8","From $20,000-$74,999","24.6","0.6"
"2011","Oregon","Cigarette Use among Adults","Income","Less than $20,000","34.0","From $20,000-$74,999","18.6","1.8"
"2011","Oregon","Cigarette Use among Adults","Income","Less than $20,000","34.0","$75,000 or above","8.1","4.2"
"2011","Oregon","Cigarette Use among Adults","Income","From $20,000-$74,999","18.6","Less than $20,000","34.0","0.5"
"2011","Oregon","Cigarette Use among Adults","Income","From $20,000-$74,999","18.6","$75,000 or above","8.1","2.3"
"2011","Oregon","Cigarette Use among Adults","Income","$75,000 or above","8.1","Less than $20,000","34.0","0.2"
"2011","Oregon","Cigarette Use among Adults","Income","$75,000 or above","8.1","From $20,000-$74,999","18.6","0.4"
"2011","Pennsylvania","Cigarette Use among Adults","Income","Less than $20,000","35.0","From $20,000-$74,999","23.7","1.5"
"2011","Pennsylvania","Cigarette Use among Adults","Income","Less than $20,000","35.0","$75,000 or above","11.6","3.0"
"2011","Pennsylvania","Cigarette Use among Adults","Income","From $20,000-$74,999","23.7","Less than $20,000","35.0","0.7"
"2011","Pennsylvania","Cigarette Use among Adults","Income","From $20,000-$74,999","23.7","$75,000 or above","11.6","2.0"
"2011","Pennsylvania","Cigarette Use among Adults","Income","$75,000 or above","11.6","Less than $20,000","35.0","0.3"
"2011","Pennsylvania","Cigarette Use among Adults","Income","$75,000 or above","11.6","From $20,000-$74,999","23.7","0.5"
"2011","Rhode Island","Cigarette Use among Adults","Income","Less than $20,000","31.8","From $20,000-$74,999","20.9","1.5"
"2011","Rhode Island","Cigarette Use among Adults","Income","Less than $20,000","31.8","$75,000 or above","11.6","2.7"
"2011","Rhode Island","Cigarette Use among Adults","Income","From $20,000-$74,999","20.9","Less than $20,000","31.8","0.7"
"2011","Rhode Island","Cigarette Use among Adults","Income","From $20,000-$74,999","20.9","$75,000 or above","11.6","1.8"
"2011","Rhode Island","Cigarette Use among Adults","Income","$75,000 or above","11.6","Less than $20,000","31.8","0.4"
"2011","Rhode Island","Cigarette Use among Adults","Income","$75,000 or above","11.6","From $20,000-$74,999","20.9","0.6"
"2011","South Carolina","Cigarette Use among Adults","Income","Less than $20,000","35.0","From $20,000-$74,999","22.3","1.6"
"2011","South Carolina","Cigarette Use among Adults","Income","Less than $20,000","35.0","$75,000 or above","11.1","3.2"
"2011","South Carolina","Cigarette Use among Adults","Income","From $20,000-$74,999","22.3","Less than $20,000","35.0","0.6"
"2011","South Carolina","Cigarette Use among Adults","Income","From $20,000-$74,999","22.3","$75,000 or above","11.1","2.0"
"2011","South Carolina","Cigarette Use among Adults","Income","$75,000 or above","11.1","Less than $20,000","35.0","0.3"
"2011","South Carolina","Cigarette Use among Adults","Income","$75,000 or above","11.1","From $20,000-$74,999","22.3","0.5"
"2011","South Dakota","Cigarette Use among Adults","Income","Less than $20,000","35.1","From $20,000-$74,999","23.3","1.5"
"2011","South Dakota","Cigarette Use among Adults","Income","Less than $20,000","35.1","$75,000 or above","10.2","3.4"
"2011","South Dakota","Cigarette Use among Adults","Income","From $20,000-$74,999","23.3","Less than $20,000","35.1","0.7"
